,Year,coder1-encodings,Consistency,X,Y
1820,2010,Surface/Volume,1,809,9
1821,2010,Surface/Volume,1,810,9
1822,2010,Surface/Volume,1,811,9
1823,2010,Surface/Volume,1,812,9
1824,2010,Surface/Volume,1,813,9
1825,2010,Surface/Volume,1,814,9
1826,2010,Surface/Volume,1,815,9
1827,2010,Surface/Volume,1,816,9
1828,2010,Surface/Volume,1,817,9
1829,2010,Surface/Volume,1,818,9
1830,2010,Surface/Volume,1,819,9
1831,2010,Surface/Volume,1,820,9
1832,2010,Surface/Volume,1,821,9
1833,2010,Surface/Volume,1,822,9
1834,2010,Surface/Volume,1,823,9
1835,2010,Surface/Volume,1,824,9
1836,2010,Surface/Volume,1,825,9
1837,2010,Surface/Volume,1,826,9
1838,2010,Surface/Volume,1,827,9
1839,2010,Surface/Volume,1,828,9
1840,2010,Surface/Volume,1,829,9
1841,2010,Surface/Volume,1,830,9
1842,2010,Surface/Volume,1,831,9
1843,2010,Surface/Volume,1,832,9
1844,2010,Surface/Volume,1,833,9
1845,2010,Surface/Volume,1,834,10
1846,2010,Surface/Volume,1,835,10
1847,2010,Surface/Volume,1,836,10
1848,2010,Surface/Volume,1,837,10
1849,2010,Surface/Volume,1,838,10
1850,2010,Surface/Volume,1,789,10
1851,2010,Surface/Volume,1,790,10
1852,2010,Surface/Volume,1,791,10
1853,2010,Surface/Volume,1,792,10
1854,2010,Surface/Volume,1,793,10
1855,2010,Surface/Volume,1,794,10
1856,2010,Surface/Volume,1,795,10
1857,2010,Surface/Volume,1,796,10
1858,2010,Surface/Volume,1,797,10
1859,2010,Surface/Volume,1,798,10
1860,2010,Surface/Volume,1,799,10
1861,2010,Surface/Volume,1,800,10
1862,2010,Surface/Volume,1,801,10
1863,2010,Surface/Volume,1,802,10
1864,2010,Surface/Volume,1,803,10
1865,2010,Surface/Volume,1,804,10
1866,2010,Surface/Volume,1,805,10
1867,2010,Surface/Volume,1,806,10
1868,2010,Surface/Volume,1,807,10
1869,2010,Surface/Volume,1,808,10
1870,2010,Surface/Volume,1,809,10
1871,2010,Surface/Volume,1,810,10
1872,2010,Surface/Volume,1,811,10
1873,2010,Surface/Volume,1,812,10
1874,2015,Surface/Volume,0,813,10
1875,2015,Surface/Volume,0,814,10
1876,2015,Surface/Volume,0,815,10
1877,2015,Surface/Volume,0,816,10
1878,2015,Surface/Volume,0,817,10
1879,2015,Surface/Volume,0,818,10
1880,2015,Surface/Volume,0,819,10
1881,2015,Surface/Volume,1,820,10
1882,2015,Surface/Volume,1,821,10
1883,2015,Surface/Volume,1,822,10
1884,2015,Surface/Volume,1,823,10
1885,2015,Surface/Volume,1,824,10
1886,2015,Surface/Volume,1,825,10
1887,2015,Surface/Volume,1,826,10
