,image_id,CFixationPointXImage,CFixationPointYImage,GazeEventDuration
33553,C33,52214.94009,43285.87219,208
33554,C33,47677.90005,44981.98292,292
33555,C33,45775.05773,43747.67443,517
33556,C33,35550.8831,47846.55877,358
33557,C33,83323.58071,59981.56901,250
39477,C33,64102.80593,33452.50397,267
39478,C33,76140.05882,31899.58309,300
39479,C33,42422.80744,42317.094,200
39480,C33,31615.1664,38758.31698,125
39481,C33,84035.46126,29311.38162,233
39482,C33,77369.67067,17664.47502,183
39483,C33,42746.3895,24393.79883,275
39484,C33,43458.27005,21093.84196,392
39485,C33,30903.28585,27629.05067,550
39486,C33,25920.12202,50275.81351,483
39487,C33,24496.36092,73569.62672,350
39488,C33,69538.98465,68522.63386,258
39489,C33,90701.25184,62181.54026,275
39490,C33,104421.1315,51375.79913,300
39491,C33,106168.4746,29764.31688,342
39492,C33,91024.8339,15723.32392,225
39493,C33,79375.87949,12617.48216,333
39494,C33,51159.52325,18440.93546,508
39495,C33,78663.99894,32870.15864,175
39496,C33,48053.1354,52411.07972,233
39497,C33,25855.40561,51764.02935,200
39498,C33,103450.3853,26205.53986,133
44091,C33,87077.13269,31770.17302,225
44092,C33,66497.31322,37981.85654,167
44093,C33,68438.80563,38111.26661,275
44094,C33,76334.20806,55516.92148,225
44095,C33,94325.37099,64899.1518,317
44096,C33,39122.27035,52087.55454,467
44097,C33,36404.18099,53381.65527,217
44098,C33,60025.67188,33323.0939,400
44099,C33,82029.25244,35264.245,117
44100,C33,81576.23755,35264.245,183
44101,C33,89795.22205,33387.79893,367
44102,C33,97431.75883,38046.56158,292
44103,C33,115358.2053,21611.48226,392
44104,C33,81835.1032,29052.56148,408
44105,C33,84359.04332,40181.82779,217
44106,C33,80734.92417,37075.98602,258
44107,C33,53230.44848,40052.41771,192
44108,C33,47600.12051,41993.56881,325
44109,C33,73227.82022,37075.98602,517
44110,C33,60769.13164,40706.05841,217
44111,C33,60193.87464,39843.32459,333
44112,C33,78918.49025,34264.31253,375
44113,C33,74689.51232,38088.79959,192
44114,C33,71122.91887,39526.68929,300
44115,C33,69966.77213,39309.14856,192
44116,C33,75404.02946,36603.75908,258
44117,C33,77982.25947,37369.43535,225
44118,C33,67184.32589,37688.46713,242
44119,C33,79856.09925,31941.46163,267
44120,C33,89185.56946,32491.51435,1450
44121,C33,86390.35971,31381.28376,292
44122,C33,82178.3998,33206.14553,600
44123,C33,83161.19045,33933.53799,142
44124,C33,82969.73773,34278.09231,192
44125,C33,82344.3255,34290.85358,292
44126,C33,89351.49516,32785.02359,467
44127,C33,89414.65358,32415.60576,358
44128,C33,86488.33317,26715.4515,283
44129,C33,91882.68592,24173.08276,325
44130,C33,96196.75394,25219.507,75
44131,C33,90657.38849,25717.19657,292
44132,C33,83624.6918,24619.72725,408
44133,C33,88540.68239,24895.50252,475
44134,C33,91184.10819,26070.7377,450
44135,C33,89757.41088,23678.80818,267
44136,C33,90377.66977,29829.02192,175
44137,C33,83194.14788,26076.12979,225
44138,C33,53101.01565,33387.79893,467
44139,C33,44040.71777,43934.71991,158
44140,C33,32132.89771,51052.27395,267
44141,C33,31550.44999,49758.17322,517
44142,C33,32003.46488,54546.34593,558
44143,C33,31291.58433,51828.73439,383
44144,C33,34397.97218,51375.79913,408
44145,C33,32521.19619,55840.44667,275
44146,C33,32003.46488,53446.36031,700
44147,C33,29867.82324,57652.18769,292
44148,C33,32068.18129,56811.02222,850
44149,C33,34721.55424,59463.92872,283
44150,C33,33427.22597,61599.19493,308
44151,C33,29414.80834,64122.69136,358
44152,C33,34397.97218,59852.15894,433
44153,C33,35692.30044,62310.95034,892
44154,C33,36015.88251,57199.25244,783
44155,C33,36468.8974,57975.71288,400
44156,C33,39316.41959,52281.66965,542
44157,C33,35045.13631,48852.3027,342
44158,C33,37180.77795,47299.38182,392
44159,C33,38475.10622,47817.02212,408
44160,C33,37569.07643,49758.17322,250
44161,C33,48570.86671,43093.55444,125
44162,C33,43199.4044,44193.54006,300
44163,C33,55948.53784,40181.82779,283
44164,C33,73680.83511,40311.23786,175
44165,C33,59572.65699,39340.66231,233
44166,C33,57825.31383,42187.68392,125
44167,C33,89730.50563,38823.02202,283
44168,C33,91866.14728,35458.36011,192
44169,C33,80476.05852,35070.12989,192
44170,C33,71286.32782,63152.11581,100
44171,C33,77369.67067,54869.87112,192
44172,C33,25596.53995,45811.16598,617
44173,C33,19254.33144,48464.07248,183
44174,C33,106039.0418,31705.46798,133
44175,C33,47405.97127,46652.33146,333
44176,C33,47147.10562,41022.99326,217
44177,C33,31032.71868,55258.10134,408
44178,C33,54848.35881,35070.12989,242
44179,C33,55754.3886,30346.66221,233
44180,C33,82870.56581,31964.28813,292
44181,C33,77757.96916,32481.92842,467
44182,C33,71415.76064,55387.51141,225
44183,C33,74845.73055,56940.43229,450
44184,C33,78081.55122,34940.71981,358
44185,C33,125648.1151,17211.53976,308
44186,C33,123512.4734,39340.66231,100
61148,C33,76463.64089,29117.26651,325
61149,C33,45011.46397,50922.86388,267
61150,C33,58786.89187,40694.91476,375
61151,C33,52382.244,44429.53371,375
61152,C33,59854.65277,47792.51808,200
61153,C33,59590.87346,48354.01401,150
61154,C33,62118.0494,48005.20593,292
61155,C33,51530.08464,51591.90197,483
61156,C33,34397.97218,62893.29567,342
61157,C33,36447.6848,71787.24261,300
61158,C33,42476.19848,69047.70325,333
61159,C33,37103.11826,71508.47174,292
61160,C33,38315.65217,71636.26419,250
61161,C33,38207.49187,71812.70524,200
61162,C33,46775.58546,64534.94632,233
61163,C33,40677.86118,59128.48104,133
61164,C33,52773.41877,49290.91897,250
61165,C33,76593.07371,30734.89243,233
61166,C33,101250.0272,23811.4535,233
61167,C33,121959.2795,10805.74113,108
61168,C33,92319.16217,17211.53976,225
61169,C33,99761.54971,19670.33115,142
61170,C33,107203.9373,19864.44626,292
61171,C33,101314.7436,19864.44626,108
61172,C33,44882.03115,17017.42465,417
61173,C33,33362.50956,14558.63326,100
61174,C33,124612.6525,16888.01458,108
61175,C33,76851.93937,17470.35991,183
61176,C33,85912.23724,28664.33125,233
61177,C33,97237.60959,32999.56871,175
61178,C33,93678.20685,40958.28823,258
61179,C33,94907.81871,29246.67659,183
61180,C33,93807.63968,39470.07238,867
61181,C33,94584.23664,28729.03629,908
61182,C33,97496.47524,38628.90691,142
61183,C33,94584.23664,28534.92118,458
61184,C33,94843.10229,28599.62622,358
61185,C33,96331.5798,30023.13703,625
61186,C33,94390.0874,33581.91404,333
61187,C33,94260.65457,39275.95727,383
61188,C33,92966.3263,42122.97889,408
61189,C33,94195.93816,32481.92842,1133
61190,C33,94133.19919,29186.82443,833
61191,C33,95254.95036,28784.21531,250
61192,C33,96923.19568,34219.43839,142
61193,C33,96002.78447,37497.82692,300
61194,C33,94363.302,41006.2778,233
61195,C33,93615.46788,41869.01162,425
61196,C33,94075.67349,41063.79338,283
61197,C33,96007.99773,32805.4536,258
61198,C33,95619.69925,29376.08666,83
61199,C33,93937.07251,29764.31688,158
61200,C33,87983.16247,20382.08656,142
61201,C33,90571.81901,15335.0937,300
61202,C33,95166.68436,15076.27355,375
61203,C33,82417.55092,12358.66201,183
61204,C33,42811.10592,21546.77722,283
61205,C33,22231.28646,60175.68412,325
61206,C33,48247.28464,78616.61958,208
61207,C33,82805.8494,79004.8498,242
61208,C33,101379.46,40828.87815,342
61209,C33,93678.20685,17535.06494,192
61210,C33,96461.01263,21935.00744,167
61211,C33,94001.78892,12488.07208,167
61212,C33,93613.49044,14364.51815,508
61213,C33,95037.25153,30346.66221,492
61214,C33,97302.326,32158.40324,1200
61215,C33,52324.41869,25623.19453,167
61216,C33,28767.64421,7246.96411,142
61217,C33,33168.36032,8282.244697,133
61218,C33,25855.40561,7764.604403,142
61219,C33,23331.46548,6988.143963,167
61220,C33,86688.8342,26917.29526,125
61221,C33,96784.5947,30993.71258,617
61222,C33,95554.98284,29052.56148,750
61223,C33,95619.69925,28470.21614,450
61224,C33,97302.326,30929.00754,158
61225,C33,98467.22144,44646.47532,183
61226,C33,99955.69895,49111.12285,142
61227,C33,111734.0862,36428.93566,133
61228,C33,120600.2348,33581.91404,350
61229,C33,95813.84849,30411.36725,225
61230,C33,111669.3698,41670.04363,208
61231,C33,93742.92327,28858.44636,83
61232,C33,120923.8169,33128.97879,150
64620,C33,51288.95607,36105.41047,117
64621,C33,50188.77705,35264.245,208
64622,C33,76075.34241,35717.18025,283
64623,C33,50253.49346,56616.90711,125
64624,C33,60802.26884,44905.29546,333
64625,C33,35174.56914,78422.50447,267
64626,C33,19189.61503,68263.81371,283
64627,C33,25467.10713,42058.27385,217
64628,C33,40804.8971,25687.89957,217
64629,C33,78210.98405,23423.22328,550
64630,C33,106621.4895,40117.12275,233
64631,C33,73163.1038,76287.23826,567
64632,C33,42358.09102,85798.87865,225
64633,C33,25661.25637,78163.68432,800
64634,C33,73421.96946,53769.88549,192
64635,C33,75816.47675,40699.46808,350
64636,C33,113093.1309,16111.55414,117
64637,C33,120923.8169,16435.07932,133
68146,C33,70768.59651,42446.50407,75
68147,C33,59507.94058,41152.40334,83
68148,C33,52130.26945,45617.05087,167
68149,C33,39575.28525,51505.20921,167
68150,C33,39316.41959,52475.78476,67
68151,C33,37504.36002,55775.74163,250
68152,C33,35239.28555,52022.8495,83
68153,C33,51353.67249,56163.97185,67
68154,C33,47761.27237,49312.58717,75
68155,C33,44482.8667,53250.16825,308
68156,C33,38534.30975,58486.64302,225
68157,C33,37213.256,59239.61793,92
68158,C33,38895.78288,57903.59871,133
68159,C33,40252.33079,57244.98532,108
68160,C33,30563.94414,56712.58668,75
68161,C33,126230.5628,36105.41047,92
68162,C33,35304.00196,51699.32432,533
68163,C33,31874.03205,69428.50437,267
68164,C33,77110.80502,76546.05841,83
68165,C33,77175.52143,75122.5476,67
68166,C33,76787.22295,76093.12315,125
68167,C33,94584.23664,81851.87142,92
68168,C33,103515.1017,59010.99346,142
68169,C33,107333.3701,51052.27395,167
68170,C33,110116.1759,41734.74867,475
68171,C33,109986.743,34423.07952,158
68172,C33,99955.69895,26464.36001,767
68173,C33,99437.96765,24976.14416,75
68174,C33,85782.80442,21287.95707,400
68175,C33,87206.56551,20123.26641,250
68176,C33,77822.68557,21223.25204,225
68177,C33,66497.31322,28793.74133,208
68178,C33,64749.97006,34811.30974,300
68179,C33,68179.93997,37399.51121,142
68180,C33,68179.93997,36623.05077,83
68181,C33,67468.05942,37075.98602,83
68182,C33,61708.29863,34811.30974,192
68183,C33,61708.29863,31576.05791,392
68184,C33,57372.29893,27693.7557,142
68185,C33,56854.56763,28276.10103,350
68186,C33,56466.26915,29246.67659,233
68187,C33,67921.07432,60499.20931,183
68188,C33,55948.53784,57393.36755,192
68189,C33,56401.55273,57846.3028,67
68190,C33,76463.64089,60693.32442,125
68191,C33,85394.50594,53834.59053,67
68192,C33,84173.9424,67335.53608,92
68193,C33,81090.2053,66686.86809,108
68194,C33,81250.79788,65715.63351,83
68195,C33,74263.28283,36428.93566,100
68196,C33,46758.80714,31511.35287,158
68197,C33,37569.07643,43546.48969,92
68198,C33,105327.1613,14817.4534,100
70504,C33,59054.92568,40958.28823,283
70505,C33,74004.41718,57716.89273,292
70506,C33,67985.79073,44322.95013,208
70507,C33,46629.37431,39987.71268,117
70508,C33,47341.25486,25105.55424,267
70509,C33,59831.52264,45746.46094,267
70510,C33,74004.41718,62505.06545,308
70511,C33,90118.80412,65869.72735,217
70512,C33,79570.02873,45228.82065,233
70513,C33,111151.6385,14235.10807,267
70514,C33,79505.31232,40570.05801,575
70515,C33,79505.31232,40570.05801,575
79747,C33,93419.3412,27434.93556,233
79748,C33,65850.14909,20576.20167,125
79749,C33,44817.31473,36687.7558,133
79750,C33,45270.32963,36364.23062,83
79751,C33,84682.62539,21676.18729,142
79752,C33,87077.13269,12746.89223,150
79753,C33,82999.99864,9770.460541,233
79754,C33,41969.79254,20446.79159,317
79755,C33,35821.73327,19087.98582,283
79756,C33,26502.56974,28729.03629,158
79757,C33,29544.24117,28146.69096,167
79758,C33,23719.76396,37399.51121,158
79759,C33,114387.4591,8735.179954,142
79760,C33,55430.80653,19217.3959,142
79761,C33,36210.03175,22258.53262,300
79762,C33,27473.31594,29829.02192,392
79763,C33,100279.281,17340.94983,200
79764,C33,37180.77795,24199.68372,233
79765,C33,32391.76336,20770.31678,217
79766,C33,84941.49104,8670.474917,300
79767,C33,88630.32661,7699.899366,300
79768,C33,116458.3844,15399.79873,300
79769,C33,114775.7576,37528.92128,567
79770,C33,109663.161,55322.80637,408
79771,C33,91218.98314,78487.20951,183
79772,C33,48894.44878,83857.72755,158
79773,C33,48829.73236,85475.35347,267
79774,C33,49929.91139,83210.67719,83
79775,C33,47858.98616,84893.00814,67
79776,C33,47988.41899,82951.85704,67
79777,C33,34721.55424,85087.12325,225
79778,C33,22878.45059,74281.38212,508
79779,C33,15694.9287,60046.27405,108
79780,C33,17506.98828,52734.6049,192
79781,C33,14594.74967,60434.50427,250
79782,C33,12135.52597,46587.62642,258
79783,C33,22425.4357,38370.08676,550
79784,C33,27279.1667,30929.00754,758
79785,C33,27796.89801,29699.61184,550
79786,C33,35239.28555,25234.96431,92
79787,C33,35109.85272,22387.9427,92
79788,C33,59054.92568,15852.73399,108
79789,C33,26826.15181,28729.03629,175
79790,C33,98984.95275,14299.81311,117
79791,C33,94972.53512,39534.77742,292
79792,C33,52583.28434,72275.52599,217
79793,C33,51418.3889,70399.07992,92
79794,C33,22943.167,60434.50427,167
79795,C33,62290.74635,29376.08666,158
